Pais,Año,sum,count,mean,min,max
puertorico,2010,1173.4,18,65.18889,2.0,157.0
puertorico,2011,749.1,18,41.61667,5.5,157.0
puertorico,2012,398.0,9,44.22222,10.0,86.0
puertorico,2014,137.0,2,68.5,34.0,103.0
puertorico,2015,270.0,9,30.0,7.0,89.0
puertorico,2016,55.5,4,13.875,4.0,39.0
puertorico,2017,37.0,2,18.5,10.0,27.0
puertorico,2018,348.0,6,58.0,10.0,85.0
puertorico,2019,14.0,3,4.66667,3.0,6.0
puertorico,2020,1034.0,42,24.61905,3.0,129.0
venezuela,2010,3706.0,42,88.2381,5.0,173.0
venezuela,2011,4474.3,44,101.68864,3.0,172.0
venezuela,2012,3479.7,33,105.44545,7.6,170.0
venezuela,2013,164.0,1,164.0,164.0,164.0
venezuela,2014,1729.0,14,123.5,2.0,182.0
venezuela,2015,3565.5,49,72.76531,0.5,161.0
venezuela,2016,8487.0,82,103.5,4.0,172.0
venezuela,2017,6358.8,74,85.92973,5.0,177.0
venezuela,2018,3841.0,84,45.72619,1.0,164.0
venezuela,2019,7397.2,93,79.53978,1.3,750.0
venezuela,2020,5036.6,62,81.23548,2.3,187.0
venezuela,2021,409.0,11,37.18182,10.0,145.0
